Id,Year,Month,CrashHour,LAT,LON,TotalVehicles,CrashSeverity,AllOccupantsRestrained,TrucksInvolved,Speeding,TooFast,IsAlcoholOrDrugsInvolved,TeenDriver,DistractedDriver,FailedToYield,Weather,GravelRoadSurface,RollOver,IntersectionRelated,CurveLocation,HillLocation,RunOffRoad,LaneDeparture,HeadOnImpact,RearEnd
155,2011,1,12        ,46.8616,-96.8361,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,2011,1,18        ,46.8471,-96.788,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
157,2011,1,9         ,48.2107,-101.2959,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
158,2011,1,15        ,46.8443,-100.7788,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
159,2011,1,13        ,46.7132,-96.8302,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
160,2011,1,6         ,46.7508,-96.8399,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
161,2011,1,13        ,48.2343,-101.3064,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
162,2011,1,17        ,48.2689,-101.296,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,2011,1,2         ,47.927972,-97.086511,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
164,2011,1,8         ,46.8801,-102.7913,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
165,2011,1,15        ,46.26493,-96.61569,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
166,2011,1,8         ,46.89037,-96.80415,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,2011,1,9         ,48.965891,-101.506851,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
168,2011,1,14        ,48.4269,-97.4125,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
169,2011,1,15        ,46.9012,-96.7844,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
170,2011,1,16        ,46.9187,-98.0219,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,2011,1,15        ,46.7991,-100.8258,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
172,2011,1,22        ,46.882,-98.7189,2,2,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
173,2011,1,15        ,46.8273,-100.7531,2,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
174,2011,1,14        ,48.8946,-103.0055,2,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
175,2011,1,7         ,48.08438,-99.97757,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
176,2011,1,8         ,46.894168,-102.79475,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
177,2011,1,8         ,47.917271,-97.06629,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,2011,1,1         ,47.889498,-97.052137,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
179,2011,1,11        ,46.83,-96.8199,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,2011,1,15        ,46.2708,-100.2299,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,2011,1,9         ,46.8695,-96.7949,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
182,2011,1,17        ,46.9149,-98.7057,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
183,2011,1,2         ,47.921204,-97.050856,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
184,2011,1,12        ,46.8345,-100.7729,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
185,2011,1,13        ,47.919426,-97.059649,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,2011,1,9         ,46.8904,-102.8406,1,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
187,2011,1,18        ,47.909152,-97.045113,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
188,2011,1,17        ,47.893058,-97.045083,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,2011,1,0         ,47.689449,-102.37586,2,2,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
190,2011,1,12        ,48.238,-99.1367,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
191,2011,1,9         ,48.17183,-103.62601,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,2011,1,0         ,48.79297,-103.04903,1,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
193,2011,1,18        ,46.866358,-96.886036,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
194,2011,1,7         ,46.8156,-100.8003,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
195,2011,1,14        ,46.802,-100.7741,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
196,2011,1,14        ,46.7955,-100.7879,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,2011,1,9         ,46.8316,-100.794,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
198,2011,1,8         ,46.8583,-96.8581,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,2011,1,21        ,46.8805,-96.794,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
